entity_type	family	count
person	person	11805
film	work	1807
music_album	work	872
other_creative_work	work	870
organization	organization	695
creative_group	group	414
music_group	group	394
production_company	organization	303
distributor	organization	294
record_label	organization	238
musical_work	work	79
publisher	organization	66
unknown	unknown	21
television_series	work	17
broadcaster	organization	12
comics	work	5
genre	concept	3
book	work	1
painting	work	1
video_game	work	1
