scheme	count	entities
discogs_artist	695	668
discogs_master	758	756
discogs_release	1063	760
imdb_company	91	79
imdb_name	10249	10227
imdb_title	1810	1807
musicbrainz_artist	694	686
musicbrainz_recording	289	237
musicbrainz_release	0	0
musicbrainz_release_group	902	899
musicbrainz_work	117	103
tmdb_movie	1806	1802
tmdb_person	0	0
tmdb_tv	19	19
wikidata	16659	16659
