entity_id	label	old_date	old_precision	new_date_type	new_date	new_precision
2861	Équation à un inconnu	1980-03-19	3	release	1980-03-19	3
2862	The Other Side of Aspen	1978-01-01	1	release	1978-01-01	1
2863	Bijou	1972-01-01	1	release	1972-01-01	1
2864	大魔神	1966-01-01	1	publication	1966-01-01	1
2865	Vanishing Point	1983-01-01	1	publication	1983-01-01	1
2866	The Flat	1968-01-01	1	release	1968-01-01	1
2867	Red Account: My Bloody Angel	1988-01-01	1	release	1988-01-01	1
2868	Subway Riders	1981-02-01	3	release	1981-02-01	3
2870	Los parecidos	2015-09-01	2	release	2015-09-01	2
2871	Sex and the Other Woman	1972-01-01	1	release	1972-01-01	1
2872	Pengabdi Setan	2017-09-28	3	release	2017-09-28	3
2873	Amerikai anzix	1975-01-01	1	release	1975-01-01	1
2874	The Dog's Night Song	1983-01-01	1	release	1983-01-01	1
2875	ホワイトリリー	2016-10-07	3	release	2016-10-07	3
2876	Alienist	2016-01-01	1	release	2016-01-01	1
2877	Angel Dust	1994-01-01	1	release	1994-01-01	1
2878	Deadpool XXX: A Porn Parody	2015-09-15	3	release	2015-09-15	3
2879	Sodom and Gomorrah: The Last Seven Days	1975-01-01	1	release	1975-01-01	1
2880	The House That Vanished	1973-01-01	1	release	1973-01-01	1
2881	Là-Bas	1895-01-01	1	publication	1895-01-01	1
2882	Dead Magic (Anna von Hausswolff album)	2018-01-01	1	release	2018-01-01	1
2883	Всё идёт по плану	1988-01-01	1	release	1988-01-01	1
2884	牝猫たち	2017-01-14	3	release	2017-01-14	3
2885	Can You Keep It Up for a Week?	1974-01-01	1	release	1974-01-01	1
2886	The Astrologer	1975-12-01	2	release	1975-12-01	2
2887	The Wandering Soap Opera	2017-01-01	1	release	2017-01-01	1
2888	May the Devil Take You	2018-08-09	3	release	2018-08-09	3
2889	Israel / Red Over White	1980-11-28	3	publication	1980-11-28	3
2890	ハードフォーカス 盗聴＜ぬすみぎき＞	1988-01-01	1	release	1988-01-01	1
2892	The Light Is Leaving Us All	2018-10-13	3	release	2018-10-13	3
2893	The Third Hand	1981-01-01	1	release	1981-01-01	1
